,Latitude,Longitude,Max_surface_temp_F,county
387,44.769,-111.649,86.0,Madison County
388,44.701,-111.87799999999999,82.0,Beaverhead County
389,47.843,-108.598,77.0,Phillips County
390,45.235,-112.135,73.0,Madison County
391,45.037,-111.95299999999999,75.0,Madison County
392,44.785,-111.649,79.0,Madison County
393,35.897,-82.82600000000001,108.0,Madison County
394,33.830999999999996,-108.8,98.0,Catron County
395,35.06,-107.133,72.0,Cibola County
396,32.884,-108.35799999999999,78.0,Grant County
397,32.644,-108.12799999999999,97.0,Grant County
398,33.898,-108.501,70.0,Catron County
399,32.821,-108.40799999999999,72.0,Grant County
400,34.995,-106.454,69.0,Bernalillo County
401,34.049,-106.939,70.0,Socorro County
402,32.795,-107.27600000000001,92.0,Sierra County
403,34.903,-107.085,73.0,Valencia County
404,33.708,-109.025,92.0,Catron County
405,32.83,-109.04700000000001,69.0,Grant County
406,32.455,-104.48899999999999,79.0,Eddy County
407,34.833,-107.09100000000001,82.0,Valencia County
408,34.854,-107.088,80.0,Valencia County
409,36.508,-105.72200000000001,100.0,Taos County
410,32.843,-108.512,81.0,Grant County
411,35.82,-106.62700000000001,99.0,Sandoval County
412,32.248000000000005,-104.411,68.0,Eddy County
413,34.116,-106.98,68.0,Socorro County
414,33.571999999999996,-107.59299999999999,83.0,Socorro County
415,34.032,-106.777,79.0,Socorro County
416,35.601,-106.86,70.0,Sandoval County
417,36.324,-105.60600000000001,93.0,Taos County
418,34.912,-108.95100000000001,71.0,Cibola County
419,35.972,-106.56,101.0,Sandoval County
420,35.54,-106.854,85.0,Sandoval County
421,35.548,-106.82700000000001,68.0,Sandoval County
422,34.038000000000004,-106.94,93.0,Socorro County
423,32.606,-107.19,88.0,Doña Ana County
424,35.849000000000004,-106.62899999999999,100.0,Sandoval County
425,34.698,-107.12899999999999,71.0,Valencia County
426,34.808,-107.09100000000001,86.0,Valencia County
427,34.769,-107.085,78.0,Valencia County
428,34.847,-107.09100000000001,76.0,Valencia County
429,33.274,-108.25,93.0,Catron County
430,33.285,-108.262,88.0,Catron County
431,33.293,-108.28200000000001,99.0,Catron County
432,36.368,-106.059,83.0,Rio Arriba County
433,33.306,-108.324,91.0,Catron County
434,33.279,-107.56299999999999,87.0,Sierra County
435,34.326,-107.095,72.0,Socorro County
436,34.158,-108.319,72.0,Catron County
437,35.308,-106.471,68.0,Sandoval County
438,36.528,-105.713,106.0,Taos County
439,32.953,-107.58,94.0,Sierra County
440,32.693000000000005,-107.811,72.0,Grant County
441,32.975,-108.631,77.0,Grant County
442,32.899,-109.035,69.0,Grant County
443,33.813,-106.971,70.0,Socorro County
444,33.258,-108.23299999999999,94.0,Catron County
445,34.264,-106.883,70.0,Socorro County
446,34.916,-107.14299999999999,68.0,Valencia County
447,34.883,-107.09200000000001,73.0,Valencia County
448,34.815,-107.38799999999999,68.0,Cibola County
449,34.791,-107.09100000000001,80.0,Valencia County
450,36.942,-115.425,72.0,Lincoln County
451,37.463,-115.19200000000001,97.0,Lincoln County
452,36.426,-116.411,75.0,Nye County
453,39.558,-116.36,108.0,Eureka County
454,36.918,-116.744,88.0,Nye County
455,37.783,-114.52799999999999,70.0,Lincoln County
456,36.375,-116.274,83.0,Nye County
457,38.954,-117.04899999999999,90.0,Nye County
458,38.95,-115.7,93.0,Nye County
